"","AuthorID","Author","Date","Content","Attachments","Reactions","channel","wordcount"
"1",304446699206868992,"zombieowl#4403","01-Jun-20 10:07 AM","❓ Question: To all the eye tracking experts in this workshop, can you tell us the ""why"" do you use eye tracking?  Next, could you briefly state what aspect of eye tracking is interesting and/or frustrating to you? @RB @Andrew Duchowski @abegel @OldCanada Please also give a short intro about what you do.",NA,"","general-discussion",54
"2",714635229771595776,"abegel#2066","01-Jun-20 11:45 AM","Hi! I use eye tracking to study programming, but I really like it more for acquiring incidental signals about a programmer's cognition as they work. Rather than use gaze points to power an interaction with the computer, I like to use that information to facilitate communication between software developers. You'd be surprised how much more effective collaborators can be when they know where the other one is looking. (",NA,"👍🏽 (3)","general-discussion",70
"3",714635229771595776,"abegel#2066","01-Jun-20 11:48 AM","The main frustration I have with eye tracking is the difference between the mainline story of what it can do vs. what it actually can do given limitations in the technology. While it can tell you an (x, y) location on the screen where someone is looking, it can't tell you what they're looking at, why they're looking at it, whether their gaze was meaningful, and where that location fits into the sequence of what they've looked at. Ultimately, I really want to know a programmer's cognition, which is impossible. There's a lot of promise in getting some hints about what programmers might be thinking, but it'll take a lot of creative experiments and triangulation with many kinds of sensors to nail this down with any confidence.",NA,"💯 (3),👍 (3)","general-discussion",134
"4",521698252983238656,"OldCanada#6524","01-Jun-20 01:35 PM","Mike Dodd here (just realized that isn't clear from my discord name), I'm a cognitive psychologist who has long studied the factors that influence how attention is allocated throughout the visual field.  Because attention is dissociable from eye movements (e.g. these tend to be highly correlated but you can attend to something you aren't looking at), all classic attention paradigms require individuals to fixate on a central point and then respond via button press to events occurring on the screen.  Your speed of response is a proxy for attention.  There have been a number of excellent experiments in this regard that really inform our understanding of how attention moves, how it is impacted by various factors, etc.  Unfortunately, while these studies were incredibly necessary, they are also artificial, as there are few situations in the real world where you would fixate on a single point and shift attention around without moving your head and your eyes.  So after I was fully trained in those paradigms and background, I got more interested in studying attention in the real world (you know the whole crisis of whether what I'm doing is actually applicable in the real world) so I went about learning eyetracking so I could more realistically study the things I was studying artificially.",NA,"👍 (3)","general-discussion",218
"5",521698252983238656,"OldCanada#6524","01-Jun-20 01:48 PM","All of that background though also ties into my main frustration with eyetracking.  I was very well trained in low level attention such that I understand the disconnect between the eyes and attention, I know how to interpret eye movements and what you can meaningfully extract from them, and I know when to not overstate or overtly speculate on things.  But that is not the case for many people using eyetracking (and to be clear, that's not their fault either, you wouldn't expect someone in computer science to decide to do years of training in low level attention).  This creates a large problem because unlike ERP and fMRI (which can face similar issues but are more expensive so less frequently used by non experts), eyetracking is relatively cheap to do and accessible for a larger % of researchers.  It makes sense, therefore, that people would be excited to apply to their area, but often times the first and most influential papers in the field are not done by experts and quite frequently reach conclusions that just aren't supported by the data.  You can't infer someone's thought processes or complicated strategies based solely on where they look.  I really strive when collaborating with people in other areas to treat myself as the person who is most responsible for getting all the results/discussion/conclusions right to ensure that people aren't inappropriately stating what their results mean.  Once that happens with a seminal paper in an area, it makes it harder to step back and correct.  I think eyetracking might be one of the most important tools you can use to understand attention in the real world, but it needs to be combined with additional measures and additional expertise to make sure folks are not reading too much into what they are reporting, which happens a lot unfortunately",NA,"❤️ (3),👍 (1)","general-discussion",311
"6",416250875393081344,"njssnjss#0837","01-Jun-20 02:03 PM","For me the analysis of eye-tracking data from experiments is quite difficult, especially when you start looking at relationships between sequences of eye-gaze, interactions, other sensed events, exploration of data, and for example recommendations from a recommender system.",NA,"","general-discussion",40
"7",521698252983238656,"OldCanada#6524","01-Jun-20 05:18 PM","Part of the issue here 👆 is that there are not necessarily ""standard"" approaches for examining these things.  Even companies that produce eyetrackers have different labels/terms for concepts, different things build into their software, different output methods, and this all makes it difficult to figure out the ""right"" way to do things (similar issues again for EEG and fMRI in that there isn't a gold standard way to analyze).  So a lot of it becomes making decisions based on what makes sense, and knowing the other factors that could be confounding your results (e.g. luminance changes, violations of expectation, and strong contrast can all impact eye movements beyond just the general task being investigated",NA,"👍 (3)","general-discussion",117
"8",497819419599306752,"Andrew Duchowski#8309","01-Jun-20 07:48 PM","I'm just starting to use eye trackers to study programmers' attention so I don't yet have first-hand experience in this particular realm.  However, why I want to is so that I can try and glean attentional behavior from the practice of programmers, esp. when it comes to expert/novice comparisons and training.  The EMME paper hints at the latter, for example, and is indeed a compelling research direction.",NA,"👍🏽 (3),👍 (1)","general-discussion",71
"9",497819419599306752,"Andrew Duchowski#8309","01-Jun-20 07:52 PM","Apart from the ""why"", my approach would be to try and exploit metrics such as the K coefficient or transition matrix entropy to see if we can elicit patterns in expert/novice code ""scanning"" (code review, debugging, etc.).  I am also interested to see if cognitive load metrics would yield anything of interest.  Shameless plug: our CHI 2020 paper on the Low/High Index of Pupillary Activity (LHIPA) seemed to give us indication of cognitive load vs. baseline in three different tasks.  I don't know if it would yield differences in cognitive load between experts and novices.  If anyone gets something promising, please do let me know.",NA,"👍 (1)","general-discussion",108
"10",497819419599306752,"Andrew Duchowski#8309","01-Jun-20 08:00 PM","Eye tracking annoyances: calibration is the obvious, oft-given one, but apart from that it is access to the raw data that sometimes frustrates me.  Yes, getting fixations out of the box is nice, but sometimes the details of what filters are used are omitted (for proprietary reasons).  What else?  I'm sure there are other annoying aspects 🙂  Well, one is inconsistent data labeling and recording.  This seems to happen more often than it should.  I am sometimes faced with data that is missing participant numbers, or they are inconsistently labelled, or the trial encoding is missing, or there are NaN data for whatever reason.  This sort of thing is frustrating, and worse yet, can lead to having to throw away data.  This has to do with experimental design and the act of running experiments.  Be like a carpenter: measure twice, cut once.  You might only get to see a participant once, so make sure their data counts! 🙂",NA,"❤️ (5)","general-discussion",160
